Borough,Attended_College,Completed_4YRs_College,Sex,Economics_Major,Transportation_to_Work,Employment_Status,Age,Income,Education
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,26,5200,16
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,56,9000,11
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,50,0,11
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,46,25000,11
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Unemployed,40,1700,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,39,16200,12
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,34,13600,16
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,36,5200,16
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,88,9600,17
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,35,9000,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,72,0,12
Bronx,No,No,Female,Didn't Complete College,Subway,Employed,30,15400,12
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,81,7200,12
Manhattan,Yes,Yes,Male,Different Major,Not working,Not in labor force,66,12200,17
Manhattan,No,No,Male,Didn't Complete College,Walking,Employed,62,20900,11
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,75,0,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,60,14200,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,41,14200,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,82,17300,11
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,38,9600,13
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,54,0,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,42,1900,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,54,20300,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,36,0,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,84,11000,12
Bronx,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,68,8800,13
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,28,35000,17
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,76,0,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,59,17000,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,26,0,11
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,50,600,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,38,200,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,81,12600,12
Queens,No,No,Female,Didn't Complete College,Subway,Employed,25,3040,11
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,60,35100,16
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,48,14200,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,52,10000,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,73,3000,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,25,0,11
Queens,Yes,Yes,Male,Different Major,Worked from Home,Employed,49,35000,17
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,78,9200,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,86,35000,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,64,0,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,80,0,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,70,12000,11
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,34,13600,16
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,80,0,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,55,10500,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,56,5300,12
Manhattan,No,No,Male,Didn't Complete College,Not working,Not in labor force,28,590,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,84,0,12
Bronx,Yes,Yes,Male,Different Major,Not working,Not in labor force,69,7200,16
Queens,Yes,Yes,Male,Different Major,Not working,Not in labor force,95,45600,17
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,18000,12
Manhattan,Yes,Yes,Male,Different Major,Not working,Not in labor force,95,0,16
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,63,11400,17
Manhattan,Yes,No,Female,Didn't Complete College,Worked from Home,Employed,56,48000,14
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,66,13000,12
Bronx,Yes,Yes,Female,Different Major,Not working,Unemployed,31,1500,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,59,0,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,46,0,12
